unit_id,m_gps_patience,m_wvs_q13,m_wvs_q14,m_composite,m_prompt_a,m_prompt_b,m_noise,risktaking,q275_mean,log_gdp_pc
KAZ,-0.25865525,1.5744514106583072,1.5885579937304075,-1.7984195921732693,0.5024098704967966,0.4237965534126114,0.7050717344847561,0.24510741,4.792176039119805,10.365552145061642
KEN,-0.07622269,1.8593996840442335,1.731437598736177,1.8669721866288531,0.5058993681753222,0.38916940224242913,0.1064953719207706,0.2439042,3.31031746031746,8.495781149085648
MEX,-0.108428106,1.6417481311098332,1.757331799884991,0.0464347313455167,0.5715965117110755,0.4291826607728554,0.9108994473829802,-0.13891679,3.023081361800346,9.984719129689855
MAR,-0.31072527,1.8266666666666669,1.69,1.2644458177640414,0.5668786948704149,0.41644116459683717,-1.0954459655653788,-0.068959214,2.4791666666666665,9.039643517634676
NLD,0.9517078,1.6951690821256038,1.7603864734299517,0.5615119533955969,0.5423526655917458,0.5136758455871299,1.1623060958871534,0.18932624,4.732451678535097,11.08983750643868
NIC,-0.61252034,1.7208333333333334,1.8416666666666663,1.3877392844564438,0.4915952296738502,0.45503038916460276,0.4846305794843185,-0.5472273,2.7356130108423686,8.8615946442124
NGA,-0.20041943,1.8609539207760712,1.792239288601455,2.322228021794532,0.6366557991269521,0.5563267195459556,0.293889777738102,0.3859835,2.5887622149837135,9.048673480629786
PAK,-0.08310799,1.7483709273182957,1.7714285714285714,1.1324897132854028,0.42596415080724964,0.4421327194244067,-0.2301148623065246,0.019619443,2.16214859437751,8.52059877387035
PER,-0.10892991,1.7457142857142858,1.7821428571428573,1.185672959237322,0.5460087807019575,0.49630795826507945,0.1824163922556951,0.15494472,3.309285714285714,9.620472686761463
PHL,0.099112764,1.6508333333333334,1.825,0.620974033094,0.4624565453665446,0.4177849081094028,1.0012604135771006,0.29464763,2.3408333333333333,9.053983548743336
ROU,-0.26815102,1.7295147175815433,1.7501988862370723,0.8045487820020741,0.5417989818485084,0.42752319633199126,0.1241146038815924,-0.22955099,3.204149377593361,10.391368101956564
RUS,-0.07527795,1.5193370165745856,1.6049723756906078,-2.187939128707634,0.5669222862900765,0.3759648080612404,-0.6637574225448186,-0.3233624,4.873333333333333,10.488007928360153
SRB,-0.1378207,1.718296224588577,1.531461761858664,-0.8851787765774801,0.5776729917516541,0.4598131593423199,0.6172474799665167,-0.12961876,5.1346341463414635,9.887371153176
KOR,0.36924976,1.5502008032128514,1.5036144578313253,-2.6381683521589867,0.6142422134252044,0.4312099494716463,-0.1094199808104482,-0.03935208,4.118072289156626,10.766081885851694
THA,-0.2297256,1.6226666666666667,1.5373333333333334,-1.7249928761282027,0.5082800815652261,0.4676154728439661,1.38864444245744,-0.12358965,2.159783344617468,9.906895885074016
TUR,-0.0473989,1.6068069861173309,1.58130081300813,-1.5524950623983755,0.5710947277924998,0.4924725316419476,-0.3269216610187493,0.023427222,2.333748960931006,10.226038698936202
UKR,-0.18166576,1.6074476338246704,1.5446082234290148,-1.812666709692122,0.49500896359181806,0.4698933360220721,-1.397400401178109,-0.21866788,4.897496087636933,9.706146919190363
GBR,0.5350247,1.805674310143801,1.5981344733773806,0.4045655015629799,0.592290180831301,0.5353743462576458,-0.3453482518033062,0.04868467,4.25010250102501,10.86037863371507
USA,0.81126213,1.7322530864197532,1.5968364197530864,-0.2823197478499212,0.5113425750580622,0.46307523772932574,0.6794776662464966,0.1165868,4.882123341139734,11.104336807711285
VNM,0.110499695,1.6791666666666667,1.5491666666666666,-1.1178446005922584,0.5809582489347255,0.33862262171643853,-0.0792908582027944,-0.008681621,3.234166666666667,9.243318234128331
ZWE,-0.23858719,1.8592592592592592,1.716872427983539,1.7600544571791672,0.5038275912376966,0.3837000456956162,0.8164045210312361,0.5231948,2.4525968672712284,8.54894110021535
